structure_id,bridge_no,latitude,longitude
0005818B,5/25W,45.721916,122.6551944
0006510A,5/28E,45.75053333,122.6625139
0008055A,5/28W,45.75048333,122.6628389
0008055B,5/29,45.76513888,122.6677493
0012156B,5/3,45.62338822,122.6705271
0017903A,5/300.25,46.76853822,122.9946858
0008271A,5/301,46.77558266,123.0001111
0017465A,5/302E,46.79736077,123.0100833
0017465B,5/302W,46.79733855,123.0103972
0008271B,5/304,46.82255488,122.9963052
0017465C,5/305,46.82972155,122.9906663
0017465D,5/308,46.89647188,122.9607222
0008271C,5/309,46.92361044,122.9464997
0008055C,5/31,45.79372466,122.6764743
0012994A,5/311.5,46.98099933,122.9272771
0013701A,5/312,46.98561077,122.9233882
0013095A,5/313P,46.98976633,122.9194243
0013692A,5/314,46.99994411,122.9128056
0004887A,5/315,47.00690277,122.9081611
0004950A,5/316,47.01647222,122.9064722
0005129A,5/320,47.02070766,122.9061361
0005090A,5/321,47.02349933,122.9035556
0005152A,5/322,47.02494377,122.8985274
0005285A,5/323,47.02849933,122.8953052
0005366A,5/324,47.03065488,122.8933747
0012835D,5/324W-S,47.03127711,122.8932219
0012835A,5/325,47.03363855,122.8911663
0005295C,5/325A,47.03451355,122.892083
0012835B,5/325N-W,47.03163822,122.8906358
0005295D,5/325S-W,47.03449966,122.8909719
