structure_id,bridge_no,latitude,longitude,pga
0005582A,5/418,47.1476,122.504,0.410736
0005523C,5/419,47.1506,122.499,0.410462
0005651A,5/421,47.1598,122.484,0.409713
0009574A,5/421A,47.16,122.484,0.409741
0005667A,5/424E,47.1701,122.473,0.409593
0005667B,5/424W,47.1701,122.473,0.40963
0005667C,5/425,47.1811,122.465,0.409948
0005723A,5/426,47.1906,122.463,0.410705
0013207A,5/426A,47.1904,122.463,0.41073
0005831A,5/428,47.2066,122.462,0.412407
0015935A,5/430,47.2229,122.464,0.414468
0015935B,5/430.5P,47.2243,122.465,0.414681
0006145B,5/433,47.2295,122.462,0.415013
0017594A,5/433N-N,47.2285,122.461,0.414751
0006145C,5/434,47.2303,122.461,0.414938
0017594C,5/435S-E,47.2341,122.463,0.415644
0017594B,5/435S-N,47.2314,122.458,0.414737
0006088B,5/437,47.2303,122.451,0.413739
0016958A,5/437NCD,47.2301,122.451,0.413797
0016958B,5/439,47.2311,122.443,0.412876
0016958C,5/440,47.2319,122.441,0.412685
0007505E,5/442A,47.234,122.435,0.412234
0018607A,5/444,47.2339,122.434,0.412053
0018607C,5/445E,47.2329,122.433,0.411858
0007326A,5/445HOV,47.2331,122.434,0.411919
0007326C,5/445N-N,47.2328,122.433,0.411797
0007326D,5/445S-S,47.2332,122.432,0.411683
0007326B,5/445W,47.2333,122.434,0.411962
0007505C,5/446S-S,47.2339,122.431,0.411694
0006979A,5/448,47.2348,122.428,0.411343
0006853A,5/451,47.2389,122.417,0.410393
0006792A,5/452E,47.239,122.411,0.409661
0006792B,5/452W,47.2392,122.411,0.409696
0006821A,5/453,47.2396,122.408,0.409332
0006979C,5/454N-N,47.2392,122.406,0.409086
0018670A,5/454N-N,47.2392,122.406,0.409086
0006979B,5/455,47.2394,122.405,0.408971
0006979H,5/455E-N,47.2394,122.405,0.408939
0006979D,5/455N-N,47.2391,122.404,0.408904
0006979E,5/455S-N,47.24,122.404,0.40896
0006613A,5/456E,47.2404,122.401,0.408633
0006613B,5/456W,47.24,122.403,0.408807
0006480A,5/457,47.2417,122.386,0.406722
0006379A,5/458E,47.2404,122.374,0.405043
0006379B,5/458W,47.2408,122.374,0.405109
0006361A,5/461,47.2439,122.336,0.400248
0006480C,5/461A,47.2447,122.336,0.400347
0006361B,5/462E,47.2467,122.334,0.400166
0006361C,5/462W,47.2469,122.334,0.400182
0006443A,5/463,47.2512,122.333,0.400592
0006379C,5/464E,47.2531,122.332,0.40065
0006379D,5/464W,47.252,122.333,0.400619
0012156D,5/4S-E,45.6248,122.67,0.263404
0011193A,5/5,45.6287,122.667,0.262804
0006094A,5/501,47.2654,122.323,0.401002
0006078A,5/503E,47.2894,122.306,0.401939
0006078B,5/503W,47.2894,122.307,0.402013
0006094B,5/504E,47.3003,122.303,0.402956
0006094C,5/504W,47.3004,122.303,0.403033
0006262A,5/505,47.3151,122.298,0.404825
0016757A,5/505.7,47.3178,122.297,0.405124
0006124A,5/506E,47.3267,122.294,0.406161
0006124B,5/506W,47.327,122.294,0.406277
0006313A,5/507E,47.3431,122.293,0.408807
0006313B,5/507W,47.3432,122.293,0.408873
0006207B,5/508E,47.3523,122.295,0.411166
0006207A,5/508W,47.3521,122.296,0.41112
0006313C,5/509E,47.3576,122.296,0.41294
0006313D,5/509W,47.3577,122.297,0.41305
0006186A,5/510E,47.3694,122.293,0.41609
0006186B,5/510W,47.3695,122.294,0.416209
0006820A,5/511E,47.3912,122.291,0.422505
0006820B,5/511W,47.3914,122.291,0.422622
0007090A,5/513,47.4082,122.293,0.429067
0007075A,5/515,47.4208,122.288,0.433481
0007090B,5/516E,47.4312,122.271,0.434286
0007090C,5/516W,47.4312,122.271,0.434293
0007459A,5/517A,47.4342,122.271,0.435548
0007401A,5/518,47.4439,122.269,0.439234
0007401B,5/519E,47.4517,122.263,0.440987
0007401C,5/520E,47.4577,122.264,0.44213
0014812A,5/520E-S,47.4581,122.265,0.442388
0014621A,5/520HOV,47.4574,122.264,0.442103
0007401D,5/520W,47.4575,122.264,0.442199
0007401E,5/521E,47.4615,122.264,0.442733
0007401H,5/521N-W,47.4618,122.263,0.442602
0007401F,5/521W,47.4612,122.265,0.443034
0014621B,5/522HOV,47.4611,122.264,0.442744
0007401I,5/522S-E,47.4625,122.265,0.443314
0007401G,5/522W,47.4623,122.266,0.443326
0007442A,5/523E,47.4649,122.266,0.443807
0014621C,5/523HOV,47.4648,122.266,0.443923
0007442C,5/523S-W,47.465,122.267,0.444061
0007442B,5/523W,47.4649,122.267,0.444092
0007618A,5/524,47.4742,122.27,0.446457
0007618C,5/525.5E,47.4833,122.271,0.448122
0014543A,5/525.5H,47.4834,122.271,0.448183
0007618D,5/525.5W,47.4836,122.271,0.44827
0007618B,5/525N-N,47.4819,122.271,0.447999
0007843A,5/526.1,47.4891,122.264,0.447592
0007171A,5/526E,47.4869,122.266,0.447714
0007171B,5/526W,47.4869,122.267,0.447817
0007618E,5/528,47.5078,122.281,0.453586
0007617A,5/530E,47.5135,122.285,0.454527
0007617B,5/530W,47.5136,122.285,0.454468
0007617C,5/531E,47.5305,122.294,0.455632
0007617D,5/531W,47.53,122.293,0.455575
0008568A,5/532.1,47.5449,122.306,0.457812
0007675A,5/532.5,47.5483,122.312,0.458759
0007990A,5/532W,47.5353,122.297,0.456183
0007734A,5/533.5W,47.5517,122.317,0.458972
0007882A,5/533A,47.5484,122.318,0.460008
0007734D,5/533E-N,47.5491,122.314,0.459165
0007734E,5/533S-E,47.5507,122.316,0.459265
0007930B,5/534A,47.551,122.32,0.459985
0007734B,5/534E,47.5533,122.318,0.458304
0007930A,5/534N-W,47.5527,122.318,0.458701
0007930C,5/534S-W,47.5537,122.319,0.458343
0007734C,5/534W,47.5532,122.318,0.458425
0007816A,5/535E,47.5606,122.321,0.455544
0007816B,5/535W,47.5614,122.322,0.455316
0007741A,5/536E,47.5707,122.32,0.450364
0007741O,5/536E-S,47.5711,122.324,0.451019
0007741F,5/536N-E,47.5707,122.32,0.450301
0007741G,5/536N-W,47.5698,122.32,0.450788
0007741B,5/536W,47.5709,122.32,0.450349
0007741L,5/537E-E,47.5713,122.324,0.450846
0007741J,5/537E-N,47.5718,122.32,0.449917
0007741N,5/537E-S,47.5711,122.322,0.450643
0007741R,5/537N,47.5732,122.316,0.448315
0007741H,5/537N-W,47.5712,122.321,0.450304
0007741T,5/537S,47.5715,122.326,0.45128
